secondary_study_accession	sample_accession	secondary_sample_accession	run_accession	submission_accession	fastq_md5	fastq_ftp	submitted_ftp
ERP109205	SAMEA3570807	ERS877956	ERR1423992	ERA625452	13d9b1ade342aeac1a85db0ff27fcf44;cc8c010520fcfb57169219a825679556	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1423992/ERR1423992_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1423992/ERR1423992_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423992/19189_8#22.cram
ERP109205	SAMEA3570809	ERS877958	ERR1423993	ERA625452	40b05d1430345eaf2447466292468e7b;fcbc2e897235485811ef402b5053fe8a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1423993/ERR1423993_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1423993/ERR1423993_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423993/19189_8#23.cram
ERP109205	SAMEA3570811	ERS877960	ERR1423994	ERA625452	4cf0dbc6807318e35e12e3cd9c7c942e;fc5864f1547d0508b2b02efd52d3a499	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR1423994/ERR1423994_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR1423994/ERR1423994_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423994/19189_8#24.cram
ERP109205	SAMEA3570813	ERS877962	ERR1423995	ERA625452	0877a5bb310f4850953d75abe7a02698;270d25a06b11bbc9247a3a97e9bb5683	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR1423995/ERR1423995_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/005/ERR1423995/ERR1423995_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423995/19189_8#25.cram
ERP109205	SAMEA3570815	ERS877964	ERR1423996	ERA625452	e84835e473d6f0fcc8a7dfad5b9ba243;0b8f218372f4a089a426597c7214d5b5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR1423996/ERR1423996_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/006/ERR1423996/ERR1423996_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423996/19189_8#26.cram
ERP109205	SAMEA3570817	ERS877966	ERR1423997	ERA625452	0e1de9575e72a58ad095f4a1546123f1;116587434e6679d73c0a0b6a0695c0d1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1423997/ERR1423997_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/007/ERR1423997/ERR1423997_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423997/19189_8#27.cram
ERP109205	SAMEA3570819	ERS877968	ERR1423998	ERA625452	3c604222efe1d96a41a440b5c685a6c4;60a18a7cdb3a8f8d6dad18cad01c2574	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1423998/ERR1423998_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/008/ERR1423998/ERR1423998_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423998/19189_8#28.cram
ERP109205	SAMEA3570821	ERS877970	ERR1423999	ERA625452	06e4e91293cd9b266c70cb443935d760;1b56f7c31f8970783b4a2c7dd18381aa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/009/ERR1423999/ERR1423999_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/009/ERR1423999/ERR1423999_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1423999/19189_8#29.cram
ERP109205	SAMEA3570823	ERS877972	ERR1424000	ERA625452	72d9e9632123f8db3dbeccfd8ab77096;543479517e1e73bd731b5ffe296e9aa3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1424000/ERR1424000_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/000/ERR1424000/ERR1424000_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1424000/19189_8#30.cram
ERP109205	SAMEA3570825	ERS877974	ERR1424001	ERA625452	884bf6fbd628104b68027b53ac984952;b8a1129dc3cb4e5122b0e83f8353b097	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1424001/ERR1424001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/001/ERR1424001/ERR1424001_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1424001/19189_8#31.cram
ERP109205	SAMEA3570827	ERS877976	ERR1424002	ERA625452	48d7bec7be8aaf00c046366943ec5cf2;c2e6ba630f109ba6c583b674c0dda372	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1424002/ERR1424002_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/002/ERR1424002/ERR1424002_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1424002/19189_8#32.cram
ERP109205	SAMEA3570829	ERS877978	ERR1424003	ERA625452	1fb1810142d48defbe9c20be00c6a226;813cdb12b89d5b1fecbb8f9d10ae086d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1424003/ERR1424003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1424003/ERR1424003_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1424003/19189_8#33.cram
ERP109205	SAMEA3570831	ERS877980	ERR1424004	ERA625452	a3a41b222c452177388089576480df97;cbd7476ab3c7b264924290735a429b9e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR1424004/ERR1424004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/004/ERR1424004/ERR1424004_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1424004/19189_8#34.cram
