##Supplementary Table 1. Accession numbers of YKOC colonies sequenced.		
##LEGEND		
##Deletion_Strain	Unique ID identifying the KO strain from which colonies were derived	
##SD_code	Unique ID identifying a single colony	
##ERS accession number	Accession code to download data from the European Nucleotide Archive	
#Deletion_Strain	SD_code	ERS accession number
Del3527_SPH1	SD4389b	ERS1016115
Del3527_SPH1	SD4389b2	ERS1016116
Del3528_NKP2	SD4390b	ERS1016117
Del3528_NKP2	SD4390b2	ERS1016118
Del3529_EST2	SD4391b	ERS1016119
Del3529_EST2	SD4391b2	ERS1016120
Del3530_BUD6	SD4392b	ERS1016121
Del3530_BUD6	SD4392b2	ERS1016122
Del3533_PEX30	SD4395b	ERS1016127
Del3533_PEX30	SD4395b2	ERS1016128
Del3534_RPL38	SD4396b	ERS1016129
Del3534_RPL38	SD4396b2	ERS1016130
Del3535_YLR326W	SD4397b	ERS1016131
Del3535_YLR326W	SD4397b2	ERS1016132
Del3536_TMA10	SD4398b	ERS1016133
Del3536_TMA10	SD4398b2	ERS1016134
Del3537_NMA1	SD4399b	ERS1016135
Del3537_NMA1	SD4399b2	ERS1016136
Del3538_REC102	SD4400b	ERS1016137
Del3538_REC102	SD4400b2	ERS1016138
Del3540_JIP3	SD4402b	ERS1016141
Del3540_JIP3	SD4402b2	ERS1016142
Del3541_MID2	SD4403b	ERS1016143
Del3541_MID2	SD4403b2	ERS1016144
Del3542_RPS25B	SD4404b	ERS1016145
Del3542_RPS25B	SD4404b2	ERS1016146
Del3543_NUP2	SD4405b	ERS1016147
Del3543_NUP2	SD4405b2	ERS1016148
Del3545_OPI9	SD4407b	ERS1016151
Del3545_OPI9	SD4407b2	ERS1016152
Del3546_SPO77	SD4408b	ERS1016153
Del3546_SPO77	SD4408b2	ERS1016154
Del3547_FKS1	SD4409b	ERS1016155
Del3547_FKS1	SD4409b2	ERS1016156
Del3548_RPL26A	SD4410b	ERS1016157
Del3548_RPL26A	SD4410b2	ERS1016158
Del3549_YLR345W	SD4411b	ERS1016159
Del3549_YLR345W	SD4411b2	ERS1016160
Del3550_DIC1	SD4412b	ERS1016161
Del3550_DIC1	SD4412b2	ERS1016162
Del3551_YLR349W	SD4413b	ERS1016163
Del3551_YLR349W	SD4413b2	ERS1016164
Del3552_ORM2	SD4414b	ERS1016165
Del3552_ORM2	SD4414b2	ERS1016166
Del3553_NIT3	SD4415b	ERS1016167
Del3553_NIT3	SD4415b2	ERS1016168
Del3554_YLR352W	SD4416b	ERS1016169
Del3554_YLR352W	SD4416b2	ERS1016170
Del3555_BUD8	SD4417b	ERS1016171
Del3555_BUD8	SD4417b2	ERS1016172
Del3556_TAL1	SD4418b	ERS1016173
Del3556_TAL1	SD4418b2	ERS1016174
Del3557_ATG33	SD4419b	ERS1016189
Del3557_ATG33	SD4419b2	ERS1016190
Del3558_RSC2	SD4420b	ERS1016191
Del3558_RSC2	SD4420b2	ERS1016192
Del3559_VPS38	SD4421b	ERS1016193
Del3559_VPS38	SD4421b2	ERS1016194
Del3560_NMD4	SD4422b	ERS1016195
Del3560_NMD4	SD4422b2	ERS1016196
Del3561_GRX8	SD4423b	ERS1016197
Del3561_GRX8	SD4423b2	ERS1016198
Del3562_YLR365W	SD4424b	ERS1042737
Del3562_YLR365W	SD4424b2	ERS1042738
Del3563_YLR366W	SD4425b	ERS1016199
Del3563_YLR366W	SD4425b2	ERS1016200
Del3564_RPS22B	SD4426b	ERS1016201
Del3564_RPS22B	SD4426b2	ERS1016202
Del3565_MDM30	SD4427b	ERS1016203
Del3565_MDM30	SD4427b2	ERS1016204
Del3567_ROM2	SD4429b	ERS1016205
Del3567_ROM2	SD4429b2	ERS1016206
Del3568_ELO3	SD4430b	ERS1042847
Del3568_ELO3	SD4430b2	ERS1042848
Del3569_VID22	SD4431b	ERS1042849
Del3569_VID22	SD4431b2	ERS1042850
Del3570_YLR374C	SD4432b	ERS1042739
Del3570_YLR374C	SD4432b2	ERS1042740
Del3571_STP3	SD4433b	ERS1016207
Del3571_STP3	SD4433b2	ERS1016208
Del3572_PSY3	SD4434b	ERS1016209
Del3572_PSY3	SD4434b2	ERS1016210
Del3573_FBP1	SD4435b	ERS1016211
Del3573_FBP1	SD4435b2	ERS1016212
Del3574_CSR1	SD4436b	ERS1016213
Del3574_CSR1	SD4436b2	ERS1016214
Del3575_CTF3	SD4437b	ERS1016215
Del3575_CTF3	SD4437b2	ERS1016216
Del3576_IKI3	SD4438b	ERS1041893
Del3576_IKI3	SD4438b2	ERS1041894
Del3577_SWC7	SD4439b	ERS1016217
Del3577_SWC7	SD4439b2	ERS1016218
Del3581_STE23	SD4440b	ERS1016219
Del3581_STE23	SD4440b2	ERS1016220
Del3579_REH1	SD4441b	ERS1016221
Del3579_REH1	SD4441b2	ERS1016222
Del3580_RPS29A	SD4442b	ERS1016223
Del3580_RPS29A	SD4442b2	ERS1016224
Del3581_STE23	SD4443b	ERS1016225
Del3581_STE23	SD4443b2	ERS1016226
Del3582_ECM19	SD4444b	ERS1042741
Del3582_ECM19	SD4444b2	ERS1042742
Del3583_YLR391W	SD4445b	ERS1016227
Del3583_YLR391W	SD4445b2	ERS1016228
Del3584_ART10	SD4446b	ERS1042743
Del3584_ART10	SD4446b2	ERS1042744
Del3585_ATP10	SD4447b	ERS1016229
Del3585_ATP10	SD4447b2	ERS1016230
Del3586_COX8	SD4448b	ERS1016231
Del3586_COX8	SD4448b2	ERS1016232
Del3587_VPS33	SD4449b	ERS1016233
Del3587_VPS33	SD4449b2	ERS1016234
Del3588_SKI2	SD4450b	ERS1016235
Del3588_SKI2	SD4450b2	ERS1016236
Del3589_BDF1	SD4451b	ERS1016237
Del3589_BDF1	SD4451b2	ERS1016238
Del3590_YLR400W	SD4452b	ERS1016239
Del3590_YLR400W	SD4452b2	ERS1016240
Del3591_DUS3	SD4453b	ERS1042745
Del3591_DUS3	SD4453b2	ERS1042746
Del3592_YLR402W	SD4454b2	ERS1016242
Del3594_FLD1	SD4456b	ERS1016243
Del3594_FLD1	SD4456b2	ERS1016244
Del3595_DUS4	SD4457b	ERS1016245
Del3595_DUS4	SD4457b2	ERS1016246
Del3596_YLR407W	SD4458b	ERS1016247
Del3596_YLR407W	SD4458b2	ERS1016248
Del3597_BLS1	SD4459b	ERS1016249
Del3597_BLS1	SD4459b2	ERS1016250
Del3598_VIP1	SD4460b	ERS1016251
Del3598_VIP1	SD4460b2	ERS1016252
Del3599_BER1	SD4461b	ERS1016253
Del3599_BER1	SD4461b2	ERS1016254
Del3600_INA1	SD4462b	ERS1016255
Del3600_INA1	SD4462b2	ERS1016256
Del3601_PUN1	SD4463b	ERS1016257
Del3601_PUN1	SD4463b2	ERS1016258
Del3602_YLR415C	SD4464b	ERS1016259
Del3602_YLR415C	SD4464b2	ERS1016260
Del3603_YLR416C	SD4465b	ERS1016261
Del3603_YLR416C	SD4465b2	ERS1016262
Del3604_VPS36	SD4466b	ERS1042747
Del3604_VPS36	SD4466b2	ERS1042748
Del3605_CDC73	SD4467b	ERS1042749
Del3605_CDC73	SD4467b2	ERS1042750
Del3606_RPN13	SD4468b	ERS1016263
Del3606_RPN13	SD4468b2	ERS1016264
Del3607_YML089C	SD4469b	ERS1016265
Del3607_YML089C	SD4469b2	ERS1016266
Del3608_UFO1	SD4470b	ERS1016267
Del3608_UFO1	SD4470b2	ERS1016268
Del3609_AIM33	SD4471b	ERS1016269
Del3609_AIM33	SD4471b2	ERS1016270
Del3610_YML084W	SD4472b	ERS1016271
Del3610_YML084W	SD4472b2	ERS1016272
Del3611_YML083C	SD4473b	ERS1016273
Del3611_YML083C	SD4473b2	ERS1016274
Del3612_YML082W	SD4474b	ERS1016275
Del3612_YML082W	SD4474b2	ERS1016276
Del3613_TDA9	SD4475b	ERS1016277
Del3613_TDA9	SD4475b2	ERS1016278
Del3614_DUS1	SD4476b	ERS1016279
Del3614_DUS1	SD4476b2	ERS1016280
Del3615_YML079W	SD4477b	ERS1016281
Del3615_YML079W	SD4477b2	ERS1016282
Del3616_CPR3	SD4478b	ERS1016283
Del3616_CPR3	SD4478b2	ERS1016284
Del3617_RPS1B	SD4479b	ERS1016285
Del3617_RPS1B	SD4479b2	ERS1016286
Del3618_MFT1	SD4480b	ERS1016287
Del3618_MFT1	SD4480b2	ERS1016288
Del3619_PIF1	SD4481b	ERS1016289
Del3619_PIF1	SD4481b2	ERS1016290
Del3620_OGG1	SD4482b	ERS1042751
Del3620_OGG1	SD4482b2	ERS1042752
Del3621_NTE1	SD4483b	ERS1016291
Del3621_NTE1	SD4483b2	ERS1016292
Del3622_SML1	SD4484b	ERS1076628
Del3622_SML1	SD4484b2	ERS1076629
Del3623_CMP2	SD4485b	ERS1076630
Del3623_CMP2	SD4485b2	ERS1076631
Del3624_YML058C-A	SD4486b	ERS1016293
Del3624_YML058C-A	SD4486b2	ERS1016294
Del3625_IMD4	SD4487b	ERS1016295
Del3625_IMD4	SD4487b2	ERS1016296
Del3626_SPC2	SD4488b	ERS1016297
Del3626_SPC2	SD4488b2	ERS1016298
Del3627_CYB2	SD4489b	ERS1016299
Del3627_CYB2	SD4489b2	ERS1016300
Del3628_YML053C	SD4490b	ERS1016301
Del3628_YML053C	SD4490b2	ERS1016302
Del3629_SUR7	SD4491b	ERS1016303
Del3629_SUR7	SD4491b2	ERS1016304
Del3630_GAL80	SD4492b2	ERS1016306
Del3631_AIM32	SD4493b	ERS1016307
Del3631_AIM32	SD4493b2	ERS1016308
Del3632_GSF2	SD4494b	ERS1016309
Del3632_GSF2	SD4494b2	ERS1016310
Del3633_YML048W-A	SD4495b2	ERS1016312
Del3634_YML037C	SD4496b	ERS1016313
Del3635_SRC1	SD4497b	ERS1016315
Del3635_SRC1	SD4497b2	ERS1016316
Del3636_YML035C-A	SD4498b	ERS1016317
Del3636_YML035C-A	SD4498b2	ERS1016318
Del3637_YML033W	SD4499b	ERS1016319
Del3637_YML033W	SD4499b2	ERS1016320
Del3638_RAD52	SD4500b	ERS1076632
Del3638_RAD52	SD4500b2	ERS1076633
Del3639_RCF1	SD4501b	ERS1016321
Del3639_RCF1	SD4501b2	ERS1016322
Del3640_USA1	SD4502b	ERS1016323
Del3640_USA1	SD4502b2	ERS1016324
Del3641_TSA1	SD4503b	ERS1016325
Del3641_TSA1	SD4503b2	ERS1016326
Del3642_RPS18B	SD4504b	ERS1016327
Del3642_RPS18B	SD4504b2	ERS1016328
Del3643_RPS17A	SD4505b	ERS1016329
Del3643_RPS17A	SD4505b2	ERS1016330
Del3644_YML020W	SD4506b	ERS1016331
Del3644_YML020W	SD4506b2	ERS1016332
Del3645_OST6	SD4507b	ERS1016333
Del3645_OST6	SD4507b2	ERS1016334
Del3646_YML018C	SD4508b	ERS1016335
Del3646_YML018C	SD4508b2	ERS1016336
Del3647_PSP2	SD4509b	ERS1016337
Del3647_PSP2	SD4509b2	ERS1016338
Del3648_PPZ1	SD4510b	ERS1016339
Del3648_PPZ1	SD4510b2	ERS1016340
Del3649_TRM9	SD4511b	ERS1076634
Del3649_TRM9	SD4511b2	ERS1076635
Del3650_UBX2	SD4512b	ERS1016341
Del3650_UBX2	SD4512b2	ERS1016342
Del3651_YML013C-A	SD4513b	ERS1016343
Del3651_YML013C-A	SD4513b2	ERS1016344
Del3652_ERV25	SD4514b	ERS1016345
Del3652_ERV25	SD4514b2	ERS1016346
Del3653_RAD33	SD4515b	ERS1016347
Del3653_RAD33	SD4515b2	ERS1016348
Del3654_YML010W-A	SD4516b	ERS1076636
Del3654_YML010W-A	SD4516b2	ERS1076637
Del3655_MRPL39	SD4517b	ERS1016349
Del3655_MRPL39	SD4517b2	ERS1016350
Del3657_YAP1	SD4519b	ERS1016351
Del3657_YAP1	SD4519b2	ERS1016352
Del3659_TRM12	SD4521b	ERS1016353
Del3659_TRM12	SD4521b2	ERS1016354
Del3660_GLO1	SD4522b	ERS1016355
Del3660_GLO1	SD4522b2	ERS1016356
Del3661_YML003W	SD4523b	ERS1016470
Del3661_YML003W	SD4523b2	ERS1016469
Del3662_YML002W	SD4524b	ERS1016375
Del3662_YML002W	SD4524b2	ERS1016376
Del3663_YPT7	SD4525b	ERS1016377
Del3663_YPT7	SD4525b2	ERS1016378
Del3664_MIX17	SD4526b	ERS1016379
Del3664_MIX17	SD4526b2	ERS1016380
Del3665_AIM34	SD4527b	ERS1016381
Del3665_AIM34	SD4527b2	ERS1016382
Del3666_PLB2	SD4528b	ERS1016383
Del3666_PLB2	SD4528b2	ERS1016384
Del3667_YMR007W	SD4529b	ERS1016385
Del3667_YMR007W	SD4529b2	ERS1016386
Del3668_PLB1	SD4530b	ERS1016387
Del3668_PLB1	SD4530b2	ERS1016388
Del3669_ADI1	SD4531b	ERS1016389
Del3669_ADI1	SD4531b2	ERS1016390
Del3670_YMR010W	SD4532b	ERS1016391
Del3670_YMR010W	SD4532b2	ERS1016392
Del3671_HXT2	SD4533b	ERS1016393
Del3671_HXT2	SD4533b2	ERS1016394
Del3672_CLU1	SD4534b	ERS1016395
Del3672_CLU1	SD4534b2	ERS1016396
Del3673_BUD22	SD4535b	ERS1016397
Del3673_BUD22	SD4535b2	ERS1016398
Del3674_ERG5	SD4536b	ERS1042753
Del3674_ERG5	SD4536b2	ERS1042754
Del3675_SOK2	SD4537b	ERS1016399
Del3675_SOK2	SD4537b2	ERS1016400
Del3676_SPO20	SD4538b	ERS1016401
Del3676_SPO20	SD4538b2	ERS1016402
Del3677_YMR018W	SD4539b	ERS1016403
Del3677_YMR018W	SD4539b2	ERS1016404
Del3678_STB4	SD4540b	ERS1016405
Del3678_STB4	SD4540b2	ERS1016406
Del3679_FMS1	SD4541b	ERS1042755
Del3679_FMS1	SD4541b2	ERS1042756
Del3680_MAC1	SD4542b	ERS1042851
Del3680_MAC1	SD4542b2	ERS1042852
Del3681_UBC7	SD4543b	ERS1016407
Del3681_UBC7	SD4543b2	ERS1016408
Del3682_MSS1	SD4544b	ERS1016409
Del3682_MSS1	SD4544b2	ERS1016410
Del3653_RAD33	SD4545b	ERS1016411
Del3653_RAD33	SD4545b2	ERS1016412
Del3684_CSI1	SD4546b	ERS1016413
Del3684_CSI1	SD4546b2	ERS1016414
Del3685_PEX12	SD4547b	ERS1016415
Del3685_PEX12	SD4547b2	ERS1016416
Del3686_YMR027W	SD4548b	ERS1016417
Del3686_YMR027W	SD4548b2	ERS1016418
Del3687_FAR8	SD4549b	ERS1016419
Del3687_FAR8	SD4549b2	ERS1016420
Del3688_RSF1	SD4550b	ERS1016421
Del3688_RSF1	SD4550b2	ERS1016422
Del3689_YMR031W-A	SD4551b	ERS1016423
Del3689_YMR031W-A	SD4551b2	ERS1016424
Del3690_EIS1	SD4552b	ERS1016425
Del3690_EIS1	SD4552b2	ERS1016426
Del3692_YMR034C	SD4554b	ERS1016427
Del3692_YMR034C	SD4554b2	ERS1016428
Del3693_IMP2	SD4555b	ERS1042757
Del3693_IMP2	SD4555b2	ERS1042758
Del3694_MIH1	SD4556b	ERS1042089
Del3694_MIH1	SD4556b2	ERS1042090
Del3695_SUB1	SD4557b	ERS1016429
Del3695_SUB1	SD4557b2	ERS1016430
Del3696_YET2	SD4558b	ERS1016431
Del3696_YET2	SD4558b2	ERS1016432
Del3697_ARA2	SD4559b	ERS1016433
Del3697_ARA2	SD4559b2	ERS1016434
Del3698_ARG80	SD4560b	ERS1016435
Del3698_ARG80	SD4560b2	ERS1016436
Del3699_IOC4	SD4561b	ERS1016437
Del3699_IOC4	SD4561b2	ERS1016438
Del3700_SIP5	SD4562b	ERS1016439
Del3700_SIP5	SD4562b2	ERS1016440
Del3701_YMR141C	SD4563b	ERS1016441
Del3701_YMR141C	SD4563b2	ERS1016442
Del3702_RPS16A	SD4564b	ERS1016443
Del3702_RPS16A	SD4564b2	ERS1016444
Del3703_YMR144W	SD4565b	ERS1016445
Del3703_YMR144W	SD4565b2	ERS1016446
Del3704_NDE1	SD4566b	ERS1016447
Del3704_NDE1	SD4566b2	ERS1016448
Del3705_YMR147W	SD4567b	ERS1016449
Del3705_YMR147W	SD4567b2	ERS1016450
Del3706_OSW5	SD4568b	ERS1016451
Del3706_OSW5	SD4568b2	ERS1016452
Del3707_YIM2	SD4569b	ERS1016453
Del3707_YIM2	SD4569b2	ERS1016454
Del3708_IMP1	SD4570b	ERS1016455
Del3708_IMP1	SD4570b2	ERS1016456
Del3709_YIM1	SD4571b	ERS1016457
Del3709_YIM1	SD4571b2	ERS1016458
Del3710_NUP53	SD4572b	ERS1016459
Del3710_NUP53	SD4572b2	ERS1016460
Del3711_YMR153C-A	SD4573b	ERS1016461
Del3711_YMR153C-A	SD4573b2	ERS1016462
Del3712_YMR155W	SD4574b	ERS1016463
Del3712_YMR155W	SD4574b2	ERS1016464
Del3713_TPP1	SD4575b	ERS1016465
Del3712_YMR155W	SD4575b2	ERS1016466
Del3714_AIM36	SD4576b	ERS1016467
Del3714_AIM36	SD4576b2	ERS1016468
Del3715_YMR158W-A	SD4577b	ERS1016471
Del3715_YMR158W-A	SD4577b2	ERS1016472
Del3716_ATG16	SD4578b	ERS1016473
Del3717_HLJ1	SD4579b	ERS1016475
Del3717_HLJ1	SD4579b2	ERS1016476
Del3718_DNF3	SD4580b2	ERS1016478
Del3719_INP2	SD4581b	ERS1016479
Del3719_INP2	SD4581b2	ERS1016480
Del3720_MSS11	SD4582b2	ERS1016482
Del3721_YMR166C	SD4583b2	ERS1016484
Del3722_MLH1	SD4584b	ERS1016485
Del3723_ALD3	SD4585b	ERS1016487
Del3724_ALD2	SD4586b	ERS1016489
Del3725_YMR172C-A	SD4587b2	ERS1016492
Del3726_YMR173W-A	SD4588b	ERS1016493
Del3726_YMR173W-A	SD4588b2	ERS1016494
Del3727_PAI3	SD4589b	ERS1016495
Del3727_PAI3	SD4589b2	ERS1016496
Del3728_SIP18	SD4590b	ERS1016497
Del3728_SIP18	SD4590b2	ERS1016498
Del3729_ECM5	SD4591b	ERS1016499
Del3729_ECM5	SD4591b2	ERS1016500
Del3730_MMT1	SD4592b	ERS1016501
Del3730_MMT1	SD4592b2	ERS1016502
Del3731_YMR178W	SD4593b	ERS1016503
Del3732_SPT21	SD4594b2	ERS1016506
Del3733_CTL1	SD4595b3	ERS1076726
Del3733_CTL1	SD4595b4	ERS1076727
Del3734_RGM1	SD4596b	ERS1016509
Del3734_RGM1	SD4596b2	ERS1016510
Del3735_SSO2	SD4597b	ERS1016511
Del3735_SSO2	SD4597b2	ERS1016512
Del3736_ADD37	SD4598b	ERS1016513
Del3736_ADD37	SD4598b2	ERS1016514
Del3737_HSC82	SD4599b	ERS1016515
Del3737_HSC82	SD4599b2	ERS1016516
Del3738_YMR187C	SD4600b2	ERS1016518
Del3739_MRPS17	SD4601b	ERS1042853
Del3739_MRPS17	SD4601b2	ERS1042854
Del3740_GCV2	SD4602b	ERS1016519
Del3740_GCV2	SD4602b2	ERS1016520
Del3741_SGS1	SD4603b	ERS1016521
Del3741_SGS1	SD4603b2	ERS1016522
Del3742_SPG5	SD4604b	ERS1016523
Del3742_SPG5	SD4604b2	ERS1016524
Del3743_GYL1	SD4605b	ERS1016525
Del3743_GYL1	SD4605b2	ERS1016526
Del3744_MRPL24	SD4606b	ERS1016527
Del3744_MRPL24	SD4606b2	ERS1016528
Del3745_RPL36A	SD4607b	ERS1016529
Del3745_RPL36A	SD4607b2	ERS1016530
Del3746_YMR193C-A	SD4608b	ERS1016531
Del3746_YMR193C-A	SD4608b2	ERS1016532
Del3747_ICY1	SD4609b	ERS1016533
Del3747_ICY1	SD4609b2	ERS1016534
Del3748_YMR196W	SD4610b	ERS1016535
Del3748_YMR196W	SD4610b2	ERS1016536
Del3749_CLN1	SD4611b	ERS1076638
Del3749_CLN1	SD4611b2	ERS1076639
Del3750_RAD14	SD4612b	ERS1016537
Del3750_RAD14	SD4612b2	ERS1016538
Del3752_INP1	SD4614b	ERS1016539
Del3752_INP1	SD4614b2	ERS1016540
Del3753_PFK2	SD4615b2	ERS1016542
Del3754_YMR206W	SD4616b	ERS1016543
Del3754_YMR206W	SD4616b2	ERS1016544
Del3755_HFA1	SD4617b	ERS1042759
Del3755_HFA1	SD4617b2	ERS1042760
Del3756_YMR210W	SD4618b	ERS1016545
Del3756_YMR210W	SD4618b2	ERS1016546
Del3757_SCJ1	SD4619b	ERS1016547
Del3757_SCJ1	SD4619b2	ERS1016548
Del3758_GAS3	SD4620b	ERS1076640
Del3758_GAS3	SD4620b2	ERS1076641
Del3759_SKY1	SD4621b	ERS1016549
Del3759_SKY1	SD4621b2	ERS1016550
Del3760_ESC1	SD4622b	ERS1042761
Del3760_ESC1	SD4622b2	ERS1042762
Del3761_YMR221C	SD4623b	ERS1016551
Del3761_YMR221C	SD4623b2	ERS1016552
Del3762_FSH2	SD4624b	ERS1016553
Del3762_FSH2	SD4624b2	ERS1016554
Del3763_UBP8	SD4625b	ERS1016555
Del3763_UBP8	SD4625b2	ERS1016556
Del3763_UBP8	SD4626b	ERS1016557
Del3763_UBP8	SD4626b2	ERS1016558
Del3765_MRPL44	SD4627b	ERS1016175
Del3765_MRPL44	SD4627b2	ERS1016176
Del3766_YMR226C	SD4628b	ERS1016177
Del3766_YMR226C	SD4628b2	ERS1016178
Del3767_MTF1	SD4629b	ERS1042763
Del3767_MTF1	SD4629b2	ERS1042764
Del3768_RPS10B	SD4630b	ERS1016181
Del3768_RPS10B	SD4630b2	ERS1016182
Del3769_FUS2	SD4631b	ERS1019418
Del3769_FUS2	SD4631b2	ERS1019419
Del3770_TRI1	SD4632b	ERS1028931
Del3770_TRI1	SD4632b2	ERS1028932
Del3771_RNH1	SD4633b	ERS1042091
Del3771_RNH1	SD4633b2	ERS1042092
Del3772_BCH1	SD4634b	ERS1028933
Del3772_BCH1	SD4634b2	ERS1028934
Del3773_DFG5	SD4635b	ERS1019556
Del3773_DFG5	SD4635b2	ERS1019557
Del3774_YHM2	SD4636b	ERS1019568
Del3774_YHM2	SD4636b2	ERS1016100
Del3775_RPL20A	SD4637b	ERS1016113
Del3775_RPL20A	SD4637b2	ERS1016114
Del3776_ZRC1	SD4638b	ERS1016123
Del3776_ZRC1	SD4638b2	ERS1016124
Del3777_YMR244W	SD4639b	ERS1016125
Del3777_YMR244W	SD4639b2	ERS1016126
Del3778_YMR245W	SD4640b	ERS1016139
Del3778_YMR245W	SD4640b2	ERS1016140
Del3779_COA6	SD4641b	ERS1016149
Del3779_COA6	SD4641b2	ERS1016150
Del3780_FAA4	SD4642b	ERS1016179
Del3780_FAA4	SD4642b2	ERS1016180
Del3781_RKR1	SD4643b	ERS1016559
Del3781_RKR1	SD4643b2	ERS1016560
Del3782_GAD1	SD4644b	ERS1016561
Del3782_GAD1	SD4644b2	ERS1016562
Del3783_GTO3	SD4645b	ERS1016563
Del3783_GTO3	SD4645b2	ERS1016564
Del3784_HOR7	SD4646b	ERS1016565
Del3784_HOR7	SD4646b2	ERS1016566
Del3785_YMR252C	SD4647b	ERS1016357
Del3785_YMR252C	SD4647b2	ERS1016358
Del3786_YMR253C	SD4648b	ERS1016359
Del3786_YMR253C	SD4648b2	ERS1016360
Del3787_YMR254C	SD4649b	ERS1016361
Del3787_YMR254C	SD4649b2	ERS1016362
Del3788_GFD1	SD4650b	ERS1016363
Del3788_GFD1	SD4650b2	ERS1016364
Del3779_COA6	SD4651b	ERS1016365
Del3779_COA6	SD4651b2	ERS1016366
Del3790_PET111	SD4652b	ERS1016367
Del3790_PET111	SD4652b2	ERS1016368
Del3791_ROY1	SD4653b	ERS1016369
Del3791_ROY1	SD4653b2	ERS1016370
Del3792_TRM732	SD4654b	ERS1016371
Del3792_TRM732	SD4654b2	ERS1016372
Del3793_TPS3	SD4655b	ERS1016373
Del3793_TPS3	SD4655b2	ERS1016374
Del3794_YMR262W	SD4656b	ERS1028935
Del3794_YMR262W	SD4656b2	ERS1028936
Del3795_SAP30	SD4657b	ERS1028937
Del3795_SAP30	SD4657b2	ERS1028938
Del3796_CUE1	SD4658b	ERS1028939
Del3796_CUE1	SD4658b2	ERS1028940
Del3797_YMR265C	SD4659b2	ERS1028836
Del3798_RSN1	SD4660b	ERS1028837
Del3798_RSN1	SD4660b2	ERS1028838
Del3799_PPA2	SD4661b	ERS1028839
Del3799_PPA2	SD4661b2	ERS1028840
Del3800_TMA23	SD4662b2	ERS1028842
Del3801_SCS7	SD4663b	ERS1028843
Del3801_SCS7	SD4663b2	ERS1028844
Del3802_ZDS1	SD4664b	ERS1028845
Del3802_ZDS1	SD4664b2	ERS1028846
Del3803_RCE1	SD4665b	ERS1028847
Del3804_BUL1	SD4666b	ERS1028849
Del3804_BUL1	SD4666b2	ERS1028850
Del3805_DSK2	SD4667b	ERS1028851
Del3805_DSK2	SD4667b2	ERS1028852
Del3806_PRM15	SD4668b	ERS1028853
Del3806_PRM15	SD4668b2	ERS1028854
Del3807_CAT8	SD4669b	ERS1028855
Del3807_CAT8	SD4669b2	ERS1028856
Del3808_AEP2	SD4670b	ERS1028857
Del3808_AEP2	SD4670b2	ERS1028858
Del3809_RIT1	SD4671b	ERS1028859
Del3809_RIT1	SD4671b2	ERS1028860
Del3810_YKU70	SD4672b	ERS1028861
Del3810_YKU70	SD4672b2	ERS1028862
Del3811_NGL2	SD4673b	ERS1028863
Del3811_NGL2	SD4673b2	ERS1028864
Del3812_MRPL33	SD4674b	ERS1028865
Del3812_MRPL33	SD4674b2	ERS1028866
Del3813_DSS1	SD4675b	ERS1028867
Del3813_DSS1	SD4675b2	ERS1028868
Del3814_ABZ2	SD4676b	ERS1028869
Del3814_ABZ2	SD4676b2	ERS1028870
Del3815_TDA1	SD4677b	ERS1028871
Del3815_TDA1	SD4677b2	ERS1028872
Del3816_GOT1	SD4678b	ERS1028873
Del3816_GOT1	SD4678b2	ERS1028874
Del3817_HER2	SD4679b	ERS1028875
Del3817_HER2	SD4679b2	ERS1028876
Del3818_JNM1	SD4680b	ERS1076642
Del3818_JNM1	SD4680b2	ERS1076643
Del3819_YMR294W-A	SD4681b	ERS1028877
Del3819_YMR294W-A	SD4681b2	ERS1028878
Del3820_YMR295C	SD4682b	ERS1028879
Del3820_YMR295C	SD4682b2	ERS1028880
Del3821_PRC1	SD4683b	ERS1028881
Del3821_PRC1	SD4683b2	ERS1028882
Del3822_DYN3	SD4684b	ERS1028883
Del3822_DYN3	SD4684b2	ERS1028884
Del3822_DYN3	SD4685b	ERS1028885
Del3822_DYN3	SD4685b2	ERS1028886
Del3824_YME2	SD4686b	ERS1028887
Del3824_YME2	SD4686b2	ERS1028888
Del3825_ADH2	SD4687b	ERS1028889
Del3825_ADH2	SD4687b2	ERS1028890
Del3826_UBP15	SD4688b	ERS1076644
Del3826_UBP15	SD4688b2	ERS1076645
Del3827_YMR304C-A	SD4689b	ERS1028891
Del3827_YMR304C-A	SD4689b2	ERS1028892
Del3828_SCW10	SD4690b	ERS1028893
Del3828_SCW10	SD4690b2	ERS1028894
Del3829_YMR306C-A	SD4691b	ERS1028895
Del3829_YMR306C-A	SD4691b2	ERS1028896
Del3830_GAS1	SD4692b	ERS1028897
Del3830_GAS1	SD4692b2	ERS1028898
Del3831_YMR310C	SD4693b	ERS1028899
Del3831_YMR310C	SD4693b2	ERS1028900
Del3832_YRF1-6	SD4694b	ERS1028901
Del3832_YRF1-6	SD4694b2	ERS1028902
Del3833_YNL338W	SD4695b	ERS1042009
Del3833_YNL338W	SD4695b2	ERS1042010
Del3834_COS1	SD4696b	ERS1042011
Del3834_COS1	SD4696b2	ERS1042012
Del3835_DDI3	SD4697b	ERS1028903
Del3835_DDI3	SD4697b2	ERS1028904
Del3836_SNO2	SD4698b	ERS1028905
Del3836_SNO2	SD4698b2	ERS1028906
Del3837_SNZ2	SD4699b	ERS1028907
Del3837_SNZ2	SD4699b2	ERS1028908
