##Supplementary Table 1. Accession numbers of YKOC colonies sequenced.		
##LEGEND		
##Deletion_Strain	Unique ID identifying the KO strain from which colonies were derived	
##SD_code	Unique ID identifying a single colony	
##ERS accession number	Accession code to download data from the European Nucleotide Archive	
#Deletion_Strain	SD_code	ERS accession number
Del144_YOR1	SD1006b	ERS838518
Del144_YOR1	SD1006b2	ERS838519
Del145_BGL2	SD1007b	ERS838502
Del145_BGL2	SD1007b2	ERS838503
Del146_YGR283C	SD1008b	ERS864071
Del146_YGR283C	SD1008b2	ERS864072
Del147_ERV29	SD1009b	ERS864073
Del147_ERV29	SD1009b2	ERS864074
Del148_ZUO1	SD1010b	ERS864075
Del148_ZUO1	SD1010b2	ERS864076
Del149_BIO2	SD1011b	ERS864077
Del149_BIO2	SD1011b2	ERS864078
Del150_IMA1	SD1012b	ERS864079
Del150_IMA1	SD1012b2	ERS864080
Del151_MAL13	SD1013b	ERS864081
Del151_MAL13	SD1013b2	ERS864082
Del152_YGR290W	SD1014b	ERS864083
Del152_YGR290W	SD1014b2	ERS864084
Del153_ECM12	SD1015b	ERS838328
Del153_ECM12	SD1015b2	ERS838329
Del154_VMA10	SD1016b	ERS864085
Del154_VMA10	SD1016b2	ERS864086
Del155_SAE3	SD1017b	ERS952974
Del155_SAE3	SD1017b2	ERS952975
Del156_EST3	SD1018b	ERS864087
Del156_EST3	SD1018b2	ERS864088
Del157_MET28	SD1019b	ERS864089
Del157_MET28	SD1019b2	ERS864090
Del158_YAP5	SD1020b	ERS864091
Del158_YAP5	SD1020b2	ERS864092
Del159_FLO11	SD1021b	ERS864093
Del159_FLO11	SD1021b2	ERS864094
Del160_YIR020C	SD1022b	ERS952976
Del160_YIR020C	SD1022b2	ERS952977
Del161_YIR020W-B	SD1023b	ERS838520
Del161_YIR020W-B	SD1023b2	ERS838521
Del162_MRS1	SD1024b2	ERS838523
Del163_INA22	SD1025b	ERS838524
Del163_INA22	SD1025b2	ERS838525
Del164_MND2	SD1026b	ERS838526
Del164_MND2	SD1026b2	ERS838527
Del165_YVH1	SD1027b	ERS969955
Del165_YVH1	SD1027b2	ERS969956
Del166_DAL1	SD1028b	ERS838528
Del166_DAL1	SD1028b2	ERS838529
Del167_DAL4	SD1029b	ERS838530
Del167_DAL4	SD1029b2	ERS838531
Del168_DAL2	SD1030b	ERS838532
Del168_DAL2	SD1030b2	ERS838533
Del169_DAL7	SD1031b	ERS838534
Del169_DAL7	SD1031b2	ERS838535
Del170_MGA2	SD1032b	ERS952978
Del170_MGA2	SD1032b2	ERS952979
Del171_LYS1	SD1033b	ERS838536
Del171_LYS1	SD1033b2	ERS838537
Del172_YIR035C	SD1034b	ERS838538
Del172_YIR035C	SD1034b2	ERS838539
Del173_IRC24	SD1035b	ERS838540
Del173_IRC24	SD1035b2	ERS838541
Del174_HYR1	SD1036b	ERS838542
Del174_HYR1	SD1036b2	ERS838543
Del175_GTT1	SD1037b	ERS838544
Del175_GTT1	SD1037b2	ERS838545
Del176_YPS6	SD1038b2	ERS838547
Del177_YIR042C	SD1039b	ERS838548
Del177_YIR042C	SD1039b2	ERS838549
Del178_YKL033W-A	SD1040b	ERS1076710
Del178_YKL033W-A	SD1040b2	ERS1076711
Del179_YKL162C-A	SD1041b	ERS838550
Del179_YKL162C-A	SD1041b2	ERS838551
Del180_DID2	SD1042b	ERS838552
Del180_DID2	SD1042b2	ERS838553
Del181_CCP1	SD1043b	ERS838554
Del181_CCP1	SD1043b2	ERS838555
Del182_GPT2	SD1044b	ERS838556
Del182_GPT2	SD1044b2	ERS838557
Del183_MET1	SD1045b	ERS952980
Del183_MET1	SD1045b2	ERS952981
Del184_YKR070W	SD1046b	ERS838558
Del184_YKR070W	SD1046b2	ERS838559
Del185_SIS2	SD1047b	ERS838560
Del185_SIS2	SD1047b2	ERS838561
Del186_YKR073C	SD1048b	ERS838562
Del186_YKR073C	SD1048b2	ERS838563
Del187_AIM29	SD1049b	ERS838564
Del187_AIM29	SD1049b2	ERS838565
Del188_YKR075C	SD1050b	ERS838566
Del188_YKR075C	SD1050b2	ERS838567
Del189_ECM4	SD1051b	ERS838568
Del189_ECM4	SD1051b2	ERS838569
Del190_MSA2	SD1052b	ERS838570
Del190_MSA2	SD1052b2	ERS838571
Del191_YKR078W	SD1053b	ERS838572
Del191_YKR078W	SD1053b2	ERS838573
Del192_MTD1	SD1054b	ERS838574
Del192_MTD1	SD1054b2	ERS838575
Del193_NUP133	SD1055b	ERS969957
Del193_NUP133	SD1055b2	ERS969958
Del194_HBS1	SD1056b	ERS838576
Del194_HBS1	SD1056b2	ERS838577
Del195_OMA1	SD1057b	ERS838578
Del195_OMA1	SD1057b2	ERS838579
Del196_TVP38	SD1058b	ERS838580
Del196_TVP38	SD1058b2	ERS838581
Del197_TGL4	SD1059b	ERS838582
Del197_TGL4	SD1059b2	ERS838583
Del198_PXL1	SD1060b	ERS838584
Del198_PXL1	SD1060b2	ERS838585
Del199_SRL3	SD1061b	ERS838586
Del199_SRL3	SD1061b2	ERS838587
Del200_SRP40	SD1062b	ERS838588
Del200_SRP40	SD1062b2	ERS838589
Del201_PTR2	SD1063b	ERS838590
Del201_PTR2	SD1063b2	ERS838591
Del202_PCK1	SD1064b	ERS838592
Del202_PCK1	SD1064b2	ERS838593
Del203_UBP11	SD1065b	ERS838594
