logs/depth.did.Rap1.3M.log.err-31:real	0m34.508s
logs/depth.did.Rap1.3M.log.err-310:real	0m30.279s
logs/depth.did.Rap1.3M.log.err-311:real	0m29.986s
logs/depth.did.Rap1.3M.log.err-312:real	0m38.994s
logs/depth.did.Rap1.3M.log.err-313:real	0m30.090s
logs/depth.did.Rap1.3M.log.err-314:real	0m31.131s
logs/depth.did.Rap1.3M.log.err-315:real	0m34.300s
logs/depth.did.Rap1.3M.log.err-316:real	0m34.632s
logs/depth.did.Rap1.3M.log.err-317:real	0m34.352s
logs/depth.did.Rap1.3M.log.err-318:real	0m29.775s
logs/depth.did.Rap1.3M.log.err-319:real	0m34.380s
logs/depth.did.Rap1.3M.log.err-32:real	0m30.434s
logs/depth.did.Rap1.3M.log.err-320:real	0m30.244s
logs/depth.did.Rap1.3M.log.err-321:real	0m30.698s
logs/depth.did.Rap1.3M.log.err-322:real	0m29.902s
logs/depth.did.Rap1.3M.log.err-323:real	0m34.313s
logs/depth.did.Rap1.3M.log.err-324:real	0m34.418s
logs/depth.did.Rap1.3M.log.err-325:real	0m30.280s
logs/depth.did.Rap1.3M.log.err-326:real	0m30.177s
logs/depth.did.Rap1.3M.log.err-327:real	0m30.867s
logs/depth.did.Rap1.3M.log.err-328:real	0m29.686s
logs/depth.did.Rap1.3M.log.err-329:real	0m34.743s
logs/depth.did.Rap1.3M.log.err-33:real	0m36.460s
logs/depth.did.Rap1.3M.log.err-330:real	0m29.652s
logs/depth.did.Rap1.3M.log.err-331:real	1m21.579s
logs/depth.did.Rap1.3M.log.err-332:real	0m34.419s
logs/depth.did.Rap1.3M.log.err-333:real	0m29.533s
logs/depth.did.Rap1.3M.log.err-334:real	0m30.336s
logs/depth.did.Rap1.3M.log.err-335:real	0m29.695s
logs/depth.did.Rap1.3M.log.err-336:real	0m31.914s
logs/depth.did.Rap1.3M.log.err-337:real	0m36.075s
logs/depth.did.Rap1.3M.log.err-338:real	0m30.003s
logs/depth.did.Rap1.3M.log.err-339:real	0m33.749s
logs/depth.did.Rap1.3M.log.err-34:real	0m30.322s
logs/depth.did.Rap1.3M.log.err-340:real	0m30.990s
logs/depth.did.Rap1.3M.log.err-341:real	0m31.649s
logs/depth.did.Rap1.3M.log.err-342:real	0m31.804s
logs/depth.did.Rap1.3M.log.err-343:real	0m32.765s
logs/depth.did.Rap1.3M.log.err-344:real	0m34.473s
logs/depth.did.Rap1.3M.log.err-345:real	0m29.932s
logs/depth.did.Rap1.3M.log.err-346:real	0m34.184s
logs/depth.did.Rap1.3M.log.err-347:real	0m30.107s
logs/depth.did.Rap1.3M.log.err-348:real	0m35.248s
logs/depth.did.Rap1.3M.log.err-349:real	4m10.854s
logs/depth.did.Rap1.3M.log.err-35:real	0m30.808s
logs/depth.did.Rap1.3M.log.err-350:real	0m36.312s
logs/depth.did.Rap1.3M.log.err-351:real	0m34.633s
logs/depth.did.Rap1.3M.log.err-352:real	0m30.378s
logs/depth.did.Rap1.3M.log.err-353:real	0m35.796s
logs/depth.did.Rap1.3M.log.err-354:real	0m29.956s
logs/depth.did.Rap1.3M.log.err-355:real	0m29.771s
logs/depth.did.Rap1.3M.log.err-356:real	0m34.367s
logs/depth.did.Rap1.3M.log.err-357:real	0m35.139s
logs/depth.did.Rap1.3M.log.err-358:real	0m34.491s
logs/depth.did.Rap1.3M.log.err-359:real	0m34.548s
logs/depth.did.Rap1.3M.log.err-36:real	0m34.585s
logs/depth.did.Rap1.3M.log.err-360:real	0m29.845s
logs/depth.did.Rap1.3M.log.err-361:real	0m34.758s
logs/depth.did.Rap1.3M.log.err-362:real	0m30.930s
logs/depth.did.Rap1.3M.log.err-363:real	0m30.651s
logs/depth.did.Rap1.3M.log.err-364:real	0m29.766s
logs/depth.did.Rap1.3M.log.err-365:real	4m57.527s
logs/depth.did.Rap1.3M.log.err-366:real	4m56.996s
logs/depth.did.Rap1.3M.log.err-367:real	3m8.346s
logs/depth.did.Rap1.3M.log.err-368:real	3m44.287s
logs/depth.did.Rap1.3M.log.err-369:real	0m35.865s
logs/depth.did.Rap1.3M.log.err-37:real	0m35.952s
logs/depth.did.Rap1.3M.log.err-370:real	0m32.243s
logs/depth.did.Rap1.3M.log.err-371:real	0m31.874s
logs/depth.did.Rap1.3M.log.err-372:real	0m35.976s
logs/depth.did.Rap1.3M.log.err-373:real	0m37.446s
logs/depth.did.Rap1.3M.log.err-374:real	0m32.088s
logs/depth.did.Rap1.3M.log.err-375:real	0m36.938s
logs/depth.did.Rap1.3M.log.err-376:real	0m38.368s
logs/depth.did.Rap1.3M.log.err-377:real	0m36.016s
logs/depth.did.Rap1.3M.log.err-378:real	0m31.413s
logs/depth.did.Rap1.3M.log.err-379:real	0m39.059s
logs/depth.did.Rap1.3M.log.err-38:real	0m30.204s
logs/depth.did.Rap1.3M.log.err-380:real	0m32.069s
logs/depth.did.Rap1.3M.log.err-381:real	0m30.713s
logs/depth.did.Rap1.3M.log.err-382:real	0m35.966s
logs/depth.did.Rap1.3M.log.err-383:real	0m37.115s
logs/depth.did.Rap1.3M.log.err-384:real	0m36.638s
logs/depth.did.Rap1.3M.log.err-385:real	0m35.512s
logs/depth.did.Rap1.3M.log.err-386:real	0m31.045s
logs/depth.did.Rap1.3M.log.err-387:real	0m36.373s
logs/depth.did.Rap1.3M.log.err-388:real	0m31.295s
logs/depth.did.Rap1.3M.log.err-389:real	0m32.331s
logs/depth.did.Rap1.3M.log.err-39:real	0m30.287s
logs/depth.did.Rap1.3M.log.err-390:real	0m33.165s
logs/depth.did.Rap1.3M.log.err-391:real	0m38.235s
logs/depth.did.Rap1.3M.log.err-392:real	0m34.302s
logs/depth.did.Rap1.3M.log.err-393:real	0m33.597s
logs/depth.did.Rap1.3M.log.err-394:real	0m30.257s
logs/depth.did.Rap1.3M.log.err-395:real	0m29.683s
logs/depth.did.Rap1.3M.log.err-396:real	0m36.039s
logs/depth.did.Rap1.3M.log.err-397:real	0m34.769s
logs/depth.did.Rap1.3M.log.err-398:real	0m35.469s
logs/depth.did.Rap1.3M.log.err-399:real	0m29.771s
logs/depth.did.Rap1.3M.log.err-4:real	0m30.950s
logs/depth.did.Rap1.3M.log.err-40:real	0m36.057s
logs/depth.did.Rap1.3M.log.err-400:real	0m34.830s
logs/depth.did.Rap1.3M.log.err-401:real	0m34.666s
logs/depth.did.Rap1.3M.log.err-402:real	1m18.213s
logs/depth.did.Rap1.3M.log.err-403:real	0m35.661s
logs/depth.did.Rap1.3M.log.err-404:real	0m34.489s
logs/depth.did.Rap1.3M.log.err-405:real	0m29.745s
logs/depth.did.Rap1.3M.log.err-406:real	0m35.694s
logs/depth.did.Rap1.3M.log.err-407:real	0m29.764s
logs/depth.did.Rap1.3M.log.err-408:real	0m29.868s
logs/depth.did.Rap1.3M.log.err-409:real	0m35.144s
logs/depth.did.Rap1.3M.log.err-41:real	0m34.453s
logs/depth.did.Rap1.3M.log.err-410:real	0m34.167s
logs/depth.did.Rap1.3M.log.err-411:real	0m34.529s
logs/depth.did.Rap1.3M.log.err-412:real	0m31.704s
logs/depth.did.Rap1.3M.log.err-413:real	0m31.590s
logs/depth.did.Rap1.3M.log.err-414:real	0m33.394s
logs/depth.did.Rap1.3M.log.err-415:real	0m38.341s
logs/depth.did.Rap1.3M.log.err-416:real	0m34.395s
logs/depth.did.Rap1.3M.log.err-417:real	0m33.561s
logs/depth.did.Rap1.3M.log.err-418:real	0m30.166s
logs/depth.did.Rap1.3M.log.err-419:real	0m29.767s
logs/depth.did.Rap1.3M.log.err-42:real	0m30.752s
logs/depth.did.Rap1.3M.log.err-420:real	0m36.488s
logs/depth.did.Rap1.3M.log.err-421:real	0m35.712s
logs/depth.did.Rap1.3M.log.err-422:real	0m35.525s
logs/depth.did.Rap1.3M.log.err-423:real	0m30.043s
logs/depth.did.Rap1.3M.log.err-424:real	0m30.483s
logs/depth.did.Rap1.3M.log.err-425:real	0m35.048s
logs/depth.did.Rap1.3M.log.err-426:real	0m35.436s
logs/depth.did.Rap1.3M.log.err-427:real	0m34.423s
logs/depth.did.Rap1.3M.log.err-428:real	0m29.918s
logs/depth.did.Rap1.3M.log.err-429:real	0m29.710s
logs/depth.did.Rap1.3M.log.err-43:real	0m29.881s
logs/depth.did.Rap1.3M.log.err-430:real	0m35.482s
logs/depth.did.Rap1.3M.log.err-431:real	0m31.520s
logs/depth.did.Rap1.3M.log.err-432:real	0m31.869s
logs/depth.did.Rap1.3M.log.err-433:real	0m33.153s
logs/depth.did.Rap1.3M.log.err-434:real	0m36.609s
logs/depth.did.Rap1.3M.log.err-435:real	0m38.227s
logs/depth.did.Rap1.3M.log.err-436:real	0m34.181s
logs/depth.did.Rap1.3M.log.err-437:real	0m33.598s
logs/depth.did.Rap1.3M.log.err-438:real	0m29.661s
logs/depth.did.Rap1.3M.log.err-439:real	0m29.924s
logs/depth.did.Rap1.3M.log.err-44:real	0m29.614s
logs/depth.did.Rap1.3M.log.err-440:real	0m36.476s
logs/depth.did.Rap1.3M.log.err-441:real	0m34.548s
logs/depth.did.Rap1.3M.log.err-442:real	0m35.760s
logs/depth.did.Rap1.3M.log.err-443:real	0m29.634s
logs/depth.did.Rap1.3M.log.err-444:real	0m30.339s
logs/depth.did.Rap1.3M.log.err-445:real	0m34.798s
logs/depth.did.Rap1.3M.log.err-446:real	1m18.943s
logs/depth.did.Rap1.3M.log.err-447:real	0m36.068s
logs/depth.did.Rap1.3M.log.err-448:real	0m34.495s
logs/depth.did.Rap1.3M.log.err-449:real	0m29.750s
logs/depth.did.Rap1.3M.log.err-45:real	0m29.665s
logs/depth.did.Rap1.3M.log.err-450:real	0m29.681s
logs/depth.did.Rap1.3M.log.err-451:real	0m35.299s
logs/depth.did.Rap1.3M.log.err-452:real	0m29.749s
logs/depth.did.Rap1.3M.log.err-453:real	0m30.055s
logs/depth.did.Rap1.3M.log.err-454:real	0m34.210s
logs/depth.did.Rap1.3M.log.err-455:real	0m34.350s
logs/depth.did.Rap1.3M.log.err-456:real	0m32.157s
logs/depth.did.Rap1.3M.log.err-457:real	0m41.025s
logs/depth.did.Rap1.3M.log.err-458:real	0m39.958s
logs/depth.did.Rap1.3M.log.err-459:real	0m38.535s
logs/depth.did.Rap1.3M.log.err-46:real	0m30.326s
logs/depth.did.Rap1.3M.log.err-460:real	0m37.453s
logs/depth.did.Rap1.3M.log.err-461:real	0m36.567s
logs/depth.did.Rap1.3M.log.err-462:real	0m35.911s
logs/depth.did.Rap1.3M.log.err-463:real	0m34.531s
logs/depth.did.Rap1.3M.log.err-464:real	0m33.672s
logs/depth.did.Rap1.3M.log.err-465:real	0m32.183s
logs/depth.did.Rap1.3M.log.err-466:real	0m42.072s
logs/depth.did.Rap1.3M.log.err-467:real	0m40.675s
logs/depth.did.Rap1.3M.log.err-468:real	0m51.752s
logs/depth.did.Rap1.3M.log.err-469:real	0m29.766s
logs/depth.did.Rap1.3M.log.err-47:real	0m29.872s
logs/depth.did.Rap1.3M.log.err-470:real	0m38.882s
logs/depth.did.Rap1.3M.log.err-471:real	0m37.555s
logs/depth.did.Rap1.3M.log.err-472:real	0m38.179s
logs/depth.did.Rap1.3M.log.err-473:real	0m36.637s
logs/depth.did.Rap1.3M.log.err-474:real	0m35.918s
logs/depth.did.Rap1.3M.log.err-475:real	0m47.569s
logs/depth.did.Rap1.3M.log.err-476:real	0m47.714s
logs/depth.did.Rap1.3M.log.err-477:real	0m32.680s
logs/depth.did.Rap1.3M.log.err-478:real	0m44.865s
logs/depth.did.Rap1.3M.log.err-479:real	0m43.907s
logs/depth.did.Rap1.3M.log.err-48:real	0m34.029s
logs/depth.did.Rap1.3M.log.err-480:real	0m42.077s
logs/depth.did.Rap1.3M.log.err-481:real	0m35.518s
logs/depth.did.Rap1.3M.log.err-482:real	0m31.138s
logs/depth.did.Rap1.3M.log.err-483:real	0m35.191s
logs/depth.did.Rap1.3M.log.err-484:real	0m40.514s
logs/depth.did.Rap1.3M.log.err-485:real	0m35.512s
logs/depth.did.Rap1.3M.log.err-486:real	0m30.433s
logs/depth.did.Rap1.3M.log.err-487:real	0m29.499s
logs/depth.did.Rap1.3M.log.err-488:real	0m30.007s
logs/depth.did.Rap1.3M.log.err-489:real	0m30.466s
logs/depth.did.Rap1.3M.log.err-49:real	0m34.355s
logs/depth.did.Rap1.3M.log.err-490:real	0m34.219s
logs/depth.did.Rap1.3M.log.err-491:real	1m19.033s
logs/depth.did.Rap1.3M.log.err-492:real	0m36.022s
logs/depth.did.Rap1.3M.log.err-493:real	0m34.257s
logs/depth.did.Rap1.3M.log.err-494:real	0m30.339s
logs/depth.did.Rap1.3M.log.err-495:real	0m29.526s
logs/depth.did.Rap1.3M.log.err-496:real	0m34.454s
logs/depth.did.Rap1.3M.log.err-497:real	0m30.010s
logs/depth.did.Rap1.3M.log.err-498:real	0m29.901s
logs/depth.did.Rap1.3M.log.err-499:real	0m34.268s
logs/depth.did.Rap1.3M.log.err-5:real	0m34.566s
logs/depth.did.Rap1.3M.log.err-50:real	0m31.372s
logs/depth.did.Rap1.3M.log.err-500:real	0m31.549s
logs/depth.did.Rap1.3M.log.err-501:real	0m34.240s
logs/depth.did.Rap1.3M.log.err-502:real	0m33.341s
logs/depth.did.Rap1.3M.log.err-503:real	0m29.611s
